frame_num,frame,player_1_hits,player_1_total_b_speed,player_1_last_b_speed,player_1_total_speed,player_1_last_speed,player_2_hits,player_2_total_b_speed,player_2_last_b_speed,player_2_total_speed,player_2_last_speed,player_1_average_shot_speed,player_2_average_shot_speed,player_1_average_player_speed,player_2_average_player_speed
95,0.0,1.0,83.92723083496094,83.92723083496094,0.0,0.0,0.0,0.0,0.0,6.178312301635742,6.178312301635742,83.92723083496094,,0.0,inf
96,0.0,1.0,83.92723083496094,83.92723083496094,0.0,0.0,0.0,0.0,0.0,6.178312301635742,6.178312301635742,83.92723083496094,,0.0,inf
97,0.0,1.0,83.92723083496094,83.92723083496094,0.0,0.0,0.0,0.0,0.0,6.178312301635742,6.178312301635742,83.92723083496094,,0.0,inf
98,0.0,1.0,83.92723083496094,83.92723083496094,6.645725727081299,6.645725727081299,1.0,43.599830627441406,43.599830627441406,6.178312301635742,6.178312301635742,83.92723083496094,43.599830627441406,6.645725727081299,6.178312301635742
99,0.0,1.0,83.92723083496094,83.92723083496094,6.645725727081299,6.645725727081299,1.0,43.599830627441406,43.599830627441406,6.178312301635742,6.178312301635742,83.92723083496094,43.599830627441406,6.645725727081299,6.178312301635742
100,0.0,1.0,83.92723083496094,83.92723083496094,6.645725727081299,6.645725727081299,1.0,43.599830627441406,43.599830627441406,6.178312301635742,6.178312301635742,83.92723083496094,43.599830627441406,6.645725727081299,6.178312301635742
101,0.0,1.0,83.92723083496094,83.92723083496094,6.645725727081299,6.645725727081299,1.0,43.599830627441406,43.599830627441406,6.178312301635742,6.178312301635742,83.92723083496094,43.599830627441406,6.645725727081299,6.178312301635742
102,0.0,1.0,83.92723083496094,83.92723083496094,6.645725727081299,6.645725727081299,1.0,43.599830627441406,43.599830627441406,6.178312301635742,6.178312301635742,83.92723083496094,43.599830627441406,6.645725727081299,6.178312301635742
103,0.0,1.0,83.92723083496094,83.92723083496094,6.645725727081299,6.645725727081299,1.0,43.599830627441406,43.599830627441406,6.178312301635742,6.178312301635742,83.92723083496094,43.599830627441406,6.645725727081299,6.178312301635742
104,0.0,1.0,83.92723083496094,83.92723083496094,6.645725727081299,6.645725727081299,1.0,43.599830627441406,43.599830627441406,6.178312301635742,6.178312301635742,83.92723083496094,43.599830627441406,6.645725727081299,6.178312301635742
105,0.0,1.0,83.92723083496094,83.92723083496094,6.645725727081299,6.645725727081299,1.0,43.599830627441406,43.599830627441406,6.178312301635742,6.178312301635742,83.92723083496094,43.599830627441406,6.645725727081299,6.178312301635742
106,0.0,1.0,83.92723083496094,83.92723083496094,6.645725727081299,6.645725727081299,1.0,43.599830627441406,43.599830627441406,6.178312301635742,6.178312301635742,83.92723083496094,43.599830627441406,6.645725727081299,6.178312301635742
107,0.0,1.0,83.92723083496094,83.92723083496094,6.645725727081299,6.645725727081299,1.0,43.599830627441406,43.599830627441406,6.178312301635742,6.178312301635742,83.92723083496094,43.599830627441406,6.645725727081299,6.178312301635742
108,0.0,1.0,83.92723083496094,83.92723083496094,6.645725727081299,6.645725727081299,1.0,43.599830627441406,43.599830627441406,6.178312301635742,6.178312301635742,83.92723083496094,43.599830627441406,6.645725727081299,6.178312301635742
109,0.0,1.0,83.92723083496094,83.92723083496094,6.645725727081299,6.645725727081299,1.0,43.599830627441406,43.599830627441406,6.178312301635742,6.178312301635742,83.92723083496094,43.599830627441406,6.645725727081299,6.178312301635742
110,0.0,1.0,83.92723083496094,83.92723083496094,6.645725727081299,6.645725727081299,1.0,43.599830627441406,43.599830627441406,6.178312301635742,6.178312301635742,83.92723083496094,43.599830627441406,6.645725727081299,6.178312301635742
111,0.0,1.0,83.92723083496094,83.92723083496094,6.645725727081299,6.645725727081299,1.0,43.599830627441406,43.599830627441406,6.178312301635742,6.178312301635742,83.92723083496094,43.599830627441406,6.645725727081299,6.178312301635742
112,0.0,1.0,83.92723083496094,83.92723083496094,6.645725727081299,6.645725727081299,1.0,43.599830627441406,43.599830627441406,6.178312301635742,6.178312301635742,83.92723083496094,43.599830627441406,6.645725727081299,6.178312301635742
